num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2022S000003;01/01/2022;1:50:00;CALL. SAN BERNARDO, 53;53;1;CENTRO;Atropello a persona;Despejado;Motocicleta > 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;439995,351;4475212,523;N;NULL
2022S000003;01/01/2022;1:50:00;CALL. SAN BERNARDO, 53;53;1;CENTRO;Atropello a persona;Despejado;Motocicleta > 125cc;Peatón;De 18 a 20 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439995,351;4475212,523;N;NULL
2022S000050;02/01/2022;13:40:00;CALL. SANTA CLARA, 8;8;1;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;NULL;NULL;439694,979;4474325,456;N;NULL
2022S000050;02/01/2022;13:40:00;CALL. SANTA CLARA, 8;8;1;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;NULL;NULL;439694,979;4474325,456;N;NULL
2022S000055;02/01/2022;16:25:00;CALL. BOLA / CALL. TORIJA;1;1;CENTRO;Colisión fronto-lateral;NULL;Maquinaria de obras;Conductor;De 50 a 54 años;Hombre;NULL;NULL;439821,249;4474693,46;N;NULL
2022S000055;02/01/2022;16:25:00;CALL. BOLA / CALL. TORIJA;1;1;CENTRO;Colisión fronto-lateral;NULL;Turismo;Conductor;De 40 a 44 años;Mujer;NULL;NULL;439821,249;4474693,46;N;NULL
2022S000056;02/01/2022;13:25:00;CUSTA. SAN VICENTE / SUBTERRÁNEO;1;1;CENTRO;Colisión lateral;NULL;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;439291,933;4474652,638;N;NULL
2022S000056;02/01/2022;13:25:00;CUSTA. SAN VICENTE / SUBTERRÁNEO;1;1;CENTRO;Colisión lateral;NULL;Turismo;Conductor;De 45 a 49 años;Hombre;NULL;NULL;439291,933;4474652,638;N;NULL
2022S000082;03/01/2022;3:00:00;RONDA. ATOCHA, 16;16;1;CENTRO;Colisión múltiple;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;440851,513;4473120,662;N;NULL
2022S000082;03/01/2022;3:00:00;RONDA. ATOCHA, 16;16;1;CENTRO;Colisión múltiple;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440851,513;4473120,662;N;NULL
2022S000082;03/01/2022;3:00:00;RONDA. ATOCHA, 16;16;1;CENTRO;Colisión múltiple;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440851,513;4473120,662;N;NULL
2022S000082;03/01/2022;3:00:00;RONDA. ATOCHA, 16;16;1;CENTRO;Colisión múltiple;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440851,513;4473120,662;N;NULL
2022S000082;03/01/2022;3:00:00;RONDA. ATOCHA, 16;16;1;CENTRO;Colisión múltiple;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440851,513;4473120,662;N;NULL
2022S000195;05/01/2022;17:00:00;CALL. LEGANITOS, 39;39;1;CENTRO;Choque contra obstáculo fijo;Lluvia débil;Turismo;Conductor;De 45 a 49 años;Mujer;NULL;NULL;439706,87;4474907,472;N;NULL
2022S000278;07/01/2022;8:05:00;CALL. CARRANZA, 7;7;1;CENTRO;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;440373,976;4475614,263;N;NULL
2022S000278;07/01/2022;8:05:00;CALL. CARRANZA, 7;7;1;CENTRO;Caída;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;440373,976;4475614,263;N;NULL
2022S000296;07/01/2022;14:05:00;CALL. FERNANDO VI, 3;3;1;CENTRO;Colisión lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;440876,114;4475250,941;N;NULL
2022S000296;07/01/2022;14:05:00;CALL. FERNANDO VI, 3;3;1;CENTRO;Colisión lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;NULL;NULL;440876,114;4475250,941;N;NULL
